timestamp,funding_rate
2025-10-15 16:00:00.000,2.25e-06
2025-10-16 00:00:00.000,-2.741e-05
2025-10-16 08:00:00.003,-2.23e-05
2025-10-16 16:00:00.002,-3.004e-05
2025-10-17 00:00:00.001,-2.85e-06
2025-10-17 08:00:00.005,-6.34e-06
2025-10-17 16:00:00.003,-2.91e-06
2025-10-18 00:00:00.000,-4.819e-05
2025-10-18 08:00:00.002,-6.376e-05
2025-10-18 16:00:00.001,-3.681e-05
2025-10-19 00:00:00.001,-1.411e-05
2025-10-19 08:00:00.001,1.512e-05
2025-10-19 16:00:00.001,2.787e-05
2025-10-20 00:00:00.004,-2.197e-05
2025-10-20 08:00:00.001,-6.65e-06
2025-10-20 16:00:00.000,-1.8e-07
2025-10-21 00:00:00.009,-5.567e-05
2025-10-21 08:00:00.000,2.222e-05
2025-10-21 16:00:00.000,-2.506e-05
2025-10-22 00:00:00.004,-4.212e-05
2025-10-22 08:00:00.000,2.445e-05
2025-10-22 16:00:00.000,5.702e-05
2025-10-23 00:00:00.000,8.911e-05
2025-10-23 08:00:00.001,2.673e-05
2025-10-23 16:00:00.004,3.933e-05
2025-10-24 00:00:00.000,3.391e-05
2025-10-24 08:00:00.000,1.783e-05
2025-10-24 16:00:00.009,3.224e-05
2025-10-25 00:00:00.000,5.02e-05
2025-10-25 08:00:00.001,1.484e-05
2025-10-25 16:00:00.001,5.57e-05
2025-10-26 00:00:00.001,1.903e-05
2025-10-26 08:00:00.001,5.35e-06
2025-10-26 16:00:00.000,6.904e-05
2025-10-27 00:00:00.000,0.0001
2025-10-27 08:00:00.005,0.0001
2025-10-27 16:00:00.000,7.304e-05
2025-10-28 00:00:00.000,6.059e-05
2025-10-28 08:00:00.000,7.806e-05
2025-10-28 16:00:00.004,2.992e-05
2025-10-29 00:00:00.004,-3.2e-07
2025-10-29 08:00:00.005,3.588e-05
2025-10-29 16:00:00.000,5.003e-05
2025-10-30 00:00:00.004,1.097e-05
2025-10-30 08:00:00.008,3.449e-05
2025-10-30 16:00:00.001,3.562e-05
2025-10-31 00:00:00.000,2.13e-06
2025-10-31 08:00:00.008,0.0001
2025-10-31 16:00:00.007,0.0001
2025-11-01 00:00:00.001,0.0001
2025-11-01 08:00:00.000,0.0001
2025-11-01 16:00:00.000,9.782e-05
2025-11-02 00:00:00.007,8.2e-05
2025-11-02 08:00:00.000,8.15e-05
2025-11-02 16:00:00.001,5.635e-05
2025-11-03 00:00:00.000,6.098e-05
2025-11-03 08:00:00.010,6.853e-05
2025-11-03 16:00:00.000,5.329e-05
2025-11-04 00:00:00.002,0.0001
2025-11-04 08:00:00.004,5.808e-05
2025-11-04 16:00:00.000,6.339e-05
2025-11-05 00:00:00.000,7.132e-05
2025-11-05 08:00:00.000,2.831e-05
2025-11-05 16:00:00.004,2.816e-05
2025-11-06 00:00:00.001,3.985e-05
2025-11-06 08:00:00.000,7.916e-05
2025-11-06 16:00:00.001,4.494e-05
2025-11-07 00:00:00.005,4.705e-05
2025-11-07 08:00:00.003,4.227e-05
2025-11-07 16:00:00.005,8.631e-05
2025-11-08 00:00:00.011,7.776e-05
2025-11-08 08:00:00.015,3.047e-05
2025-11-08 16:00:00.001,3.74e-05
2025-11-09 00:00:00.004,-1.64e-05
2025-11-09 08:00:00.000,4.187e-05
2025-11-09 16:00:00.005,8.948e-05
2025-11-10 00:00:00.000,8.87e-05
2025-11-10 08:00:00.000,7.355e-05
2025-11-10 16:00:00.003,4.979e-05
2025-11-11 00:00:00.007,2.818e-05
2025-11-11 08:00:00.000,-2.775e-05
2025-11-11 16:00:00.009,5.823e-05
2025-11-12 00:00:00.000,2.462e-05
2025-11-12 08:00:00.002,6.87e-06
2025-11-12 16:00:00.000,5.786e-05
2025-11-13 00:00:00.002,1.077e-05
2025-11-13 08:00:00.000,9.352e-05
2025-11-13 16:00:00.001,7.448e-05
2025-11-14 00:00:00.000,8.569e-05
2025-11-14 08:00:00.000,9.126e-05
2025-11-14 16:00:00.001,9.078e-05
2025-11-15 00:00:00.005,8.507e-05
2025-11-15 08:00:00.000,0.0001
2025-11-15 16:00:00.001,5.923e-05
2025-11-16 00:00:00.001,7.745e-05
2025-11-16 08:00:00.000,0.0001
2025-11-16 16:00:00.000,7.06e-05
